zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
90001,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,821,361.0,193.5308351,0.007,988.4691649,1182.0
90002,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,634,345.0,222.350824,0.008,756.649176,979.0
90003,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,813,352.0,244.33815116,0.005,920.66184884,1165.0
90004,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1079,503.0,331.7016218,0.174,1250.2983782000001,1582.0
90005,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1113,506.0,381.21091690000003,0.085,1237.7890831,1619.0
90006,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1113,440.0,344.9224749,0.034,1208.0775251,1553.0
90007,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,995,448.0,297.077857,0.173,1145.922143,1443.0
90008,FALSE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,750,382.0,263.0576541,0.02,868.9423459,1132.0
90010,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1113,503.0,367.3992138,0.156,1248.6007862000001,1616.0
90011,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,853,427.0,226.61230988,0.005,1053.3876901200001,1280.0
90012,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,954,427.0,283.8578726,0.164,1097.1421274,1381.0
90013,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1079,427.0,294.36108190000004,0.261,1211.6389181,1506.0
90014,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,1113,427.0,323.9751945,0.422,1216.0248055,1540.0
90015,TRUE,Allied Prop & Cas Ins Co,NATIONWIDE CORP GRP,750,431.0,297.9838211,0.116,883.0161789,1181.0
