zipcode,chicago,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
60002,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,414,0.0,200.692502798868,88.6,213.307497201132,414.0
60002,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,321,244.0,200.692502798868,88.6,364.30749720113204,565.0
60002,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,360,176.0,200.692502798868,88.6,335.30749720113204,536.0
60002,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,458,0.0,200.692502798868,88.6,257.30749720113204,458.0
60002,FALSE,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,171,171.0,200.692502798868,88.6,141.307497201132,342.0
60002,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,199,134.0,200.692502798868,88.6,132.307497201132,333.0
60002,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,232,197.0,200.692502798868,88.6,228.307497201132,429.0
60002,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,301,154.0,200.692502798868,88.6,254.307497201132,455.0
60002,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,785,0.0,200.692502798868,88.6,584.307497201132,785.0
60002,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,373,0.0,200.692502798868,88.6,172.307497201132,373.0
60002,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,100,88.0,200.692502798868,88.6,-12.692502798867991,188.0
60002,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,176,122.0,200.692502798868,88.6,97.30749720113201,298.0
60002,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,206,146.0,200.692502798868,88.6,151.307497201132,352.0
60002,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,162,188.0,200.692502798868,88.6,149.307497201132,350.0
60002,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,440,0.0,200.692502798868,88.6,239.307497201132,440.0
60002,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,312,148.0,200.692502798868,88.6,259.30749720113204,460.0
60002,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,317,184.0,200.692502798868,88.6,300.30749720113204,501.0
60002,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,208,180.0,200.692502798868,88.6,187.307497201132,388.0
60002,FALSE,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,376,280.0,200.692502798868,88.6,455.30749720113204,656.0
60002,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,169,135.0,200.692502798868,88.6,103.30749720113201,304.0
60002,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,204,186.0,200.692502798868,88.6,189.307497201132,390.0
60002,FALSE,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,98,101.0,200.692502798868,88.6,-1.6925027988679915,199.0
60002,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,483,221.0,200.692502798868,88.6,503.30749720113204,704.0
60002,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,160,150.0,200.692502798868,88.6,109.30749720113201,310.0
60002,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,229,158.0,200.692502798868,88.6,186.307497201132,387.0
60002,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,226,188.0,200.692502798868,88.6,213.307497201132,414.0
60002,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,431,0.0,200.692502798868,88.6,230.307497201132,431.0
60002,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,204,190.0,200.692502798868,88.6,193.307497201132,394.0
60002,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,184,128.0,200.692502798868,88.6,111.30749720113201,312.0
60002,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,165,157.0,200.692502798868,88.6,121.30749720113201,322.0
60002,FALSE,FALSE,Country Pref Ins Co,Country Ins & Fin Serv Grp,188,161.0,200.692502798868,88.6,148.307497201132,349.0
60002,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,45.0,200.692502798868,88.6,26.30749720113201,227.0
60002,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,193,165.0,200.692502798868,88.6,157.307497201132,358.0
60002,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,169,135.0,200.692502798868,88.6,103.30749720113201,304.0
60004,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,162,148.0,192.768946870212,81.8,117.231053129788,310.0
60004,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,173,122.0,192.768946870212,81.8,102.231053129788,295.0
60004,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,194,216.0,192.768946870212,81.8,217.231053129788,410.0
60004,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,461,0.0,192.768946870212,81.8,268.231053129788,461.0
60004,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,415,0.0,192.768946870212,81.8,222.231053129788,415.0
60004,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,789,0.0,192.768946870212,81.8,596.231053129788,789.0
60004,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,269,248.0,192.768946870212,81.8,324.231053129788,517.0
60004,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,227,248.0,192.768946870212,81.8,282.231053129788,475.0
60004,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,201,143.0,192.768946870212,81.8,151.231053129788,344.0
60004,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,485,243.0,192.768946870212,81.8,535.231053129788,728.0
60004,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,154,204.0,192.768946870212,81.8,165.231053129788,358.0
60004,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,307,186.0,192.768946870212,81.8,300.231053129788,493.0
60004,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,198,147.0,192.768946870212,81.8,152.231053129788,345.0
60004,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,405,0.0,192.768946870212,81.8,212.231053129788,405.0
60004,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,460,0.0,192.768946870212,81.8,267.231053129788,460.0
60004,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,196,150.0,192.768946870212,81.8,153.231053129788,346.0
