zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
63005,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,216.0296934,87.9,315.97030659999996,532.0
63010,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,251.3598064,93.9,282.6401936,534.0
63011,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,225.4217782,88.9,306.5782218,532.0
63012,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,210.2863116,97.2,323.7136884,534.0
63013,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,158.5921402,100.0,299.4078598,458.0
63014,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,171.4636948,98.2,286.5363052,458.0
63015,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,300.861196,100.0,211.138804,512.0
63016,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,220.4756923,99.1,313.5243077,534.0
63017,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,213.6767468,82.4,318.3232532,532.0
63019,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,215.766553,88.9,299.233447,515.0
63020,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,211.1922056,96.6,303.80779440000003,515.0
63021,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,228.6290901,83.9,303.3709099,532.0
63023,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,287.3516588,99.1,246.6483412,534.0
63025,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,193.0150305,93.1,338.98496950000003,532.0
63026,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,244.1820493,94.0,287.8179507,532.0
63028,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,200.6978209,94.8,314.3021791,515.0
63030,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,237.3103517,100.0,277.6896483,515.0
63031,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,267.0341016,65.7,312.9658984,580.0
63033,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,284.9219547,33.7,295.0780453,580.0
63034,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,269.9538819,39.7,310.0461181,580.0
63036,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,188.6564898,97.9,288.34351019999997,477.0
63037,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,209.9449734,98.6,248.0550266,458.0
63038,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,254.1878005,94.0,277.8121995,532.0
63039,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,175.5736954,94.7,336.4263046,512.0
63040,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,255.164469,91.3,276.835531,532.0
63041,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,351.4370179,100.0,160.5629821,512.0
63042,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,272.1056857,56.7,307.8943143,580.0
63043,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,232.1657752,71.0,299.8342248,532.0
63044,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,198.4603945,75.2,381.5396055,580.0
63048,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,201.1197054,88.2,313.8802946,515.0
63049,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,239.2484137,95.6,294.7515863,534.0
63050,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,211.629002,95.0,303.370998,515.0
63051,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,257.3740537,96.2,276.6259463,534.0
63052,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,236.345172,95.3,297.654828,534.0
63053,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,342,192.0,141.2838174,98.9,392.7161826,534.0
63055,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,222.2266359,98.3,289.7733641,512.0
63056,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,161.394565,99.8,296.605435,458.0
63060,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,200.4139616,96.2,311.5860384,512.0
63061,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,123.9997755,100.0,388.0002245,512.0
63068,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,180.2296902,89.1,277.7703098,458.0
63069,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,236.7784663,89.5,275.2215337,512.0
63070,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,193.4355623,97.7,321.5644377,515.0
63071,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,147.7944407,98.7,283.2055593,431.0
63072,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,217.676183,97.3,294.32381699999996,512.0
63073,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,174.1717233,100.0,337.8282767,512.0
63074,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,231.1236607,62.6,327.87633930000004,559.0
63077,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,203.6810608,95.1,308.3189392,512.0
63080,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,157.2568988,97.9,300.7431012,458.0
63084,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,209.5559409,97.0,302.4440591,512.0
63087,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,333,182.0,129.532233,98.1,385.467767,515.0
63088,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,222.5467409,83.9,309.45325909999997,532.0
63089,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,201.4788394,96.9,310.52116060000003,512.0
63090,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,334,178.0,177.8193011,93.8,334.18069890000004,512.0
63091,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,317,141.0,111.1789981,98.5,346.8210019,458.0
63101,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,199.5860448,39.4,403.41395520000003,603.0
63102,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,268.1054635,46.5,334.8945365,603.0
63103,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,261.6041061,47.9,341.3958939,603.0
63104,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,263.2271423,48.0,339.7728577,603.0
63105,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,231.5383838,75.6,348.4616162,580.0
63107,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,368.0661936,10.9,234.93380639999998,603.0
63108,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,238.4510353,49.6,364.5489647,603.0
63109,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,372,203.0,259.6312275,83.4,315.3687725,575.0
63110,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,257.5691115,56.0,345.4308885,603.0
63111,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,372,203.0,311.4519581,49.5,263.5480419,575.0
63112,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,277.0596746,22.4,325.9403254,603.0
63114,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,244.8663799,61.4,314.13362010000003,559.0
63115,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,466,229.0,348.3122656,0.6,346.6877344,695.0
63116,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,372,203.0,316.5347812,62.5,258.4652188,575.0
63117,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,365,215.0,249.9988956,78.1,330.00110440000003,580.0
63118,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,396,207.0,356.0614008,35.0,246.9385992,603.0
63119,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,192.7122455,84.8,338.2877545,531.0
63120,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,466,229.0,308.5873192,2.7,386.4126808,695.0
63121,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,286.4194175,12.9,336.5805825,623.0
63122,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,288.6394715,90.5,235.3605285,524.0
63123,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,247.6686888,90.4,283.33131119999996,531.0
63124,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,226.4887283,88.6,304.5112717,531.0
63125,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,253.487825,89.5,270.512175,524.0
63126,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,193.5774993,89.0,330.4225007,524.0
63127,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,208.6867127,90.3,315.3132873,524.0
63128,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,234.8579737,95.9,289.1420263,524.0
63129,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,323,201.0,225.5675631,92.4,298.43243689999997,524.0
63130,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,374,176.0,248.2543626,52.3,301.74563739999996,550.0
63131,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,237.7900007,90.2,294.2099993,532.0
63132,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,264.7648425,47.7,294.2351575,559.0
63133,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,374,176.0,288.8349377,5.3,261.1650623,550.0
63134,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,304.1447796,29.7,254.8552204,559.0
63135,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,267.08946100000003,35.5,291.91053899999997,559.0
63136,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,338.5583385,7.7,284.4416615,623.0
63137,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,301.4643585,19.7,321.5356415,623.0
63138,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,419,204.0,282.2467625,21.3,340.7532375,623.0
63139,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,372,203.0,252.2553837,79.8,322.74461629999996,575.0
63140,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,364,195.0,270.6561939,5.6,288.3438061,559.0
63141,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,268.769962,76.1,263.230038,532.0
63143,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,240.2740826,76.7,290.72591739999996,531.0
63144,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,322,209.0,222.3861988,87.1,308.6138012,531.0
63146,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,321,211.0,238.7804009,70.1,293.2195991,532.0
63147,TRUE,21st Century Centennial Ins Co,FARMERS INS GRP,466,229.0,312.1069266,5.8,382.8930734,695.0
63301,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,209.933594,85.4,294.06640600000003,504.0
63303,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,308,196.0,211.2731851,86.0,292.7268149,504.0
