name,companies_name,minority_premium,premium,ratio
ALLSTATE INS GRP,Allstate Ind Co,979.9987597131166,998.5403515023035,0.981431304442238
ALLSTATE INS GRP,Northbrook Ind Co,849.1863869587663,865.8734539996261,0.9807280533156673
BERKSHIRE HATHAWAY GRP,Geico Cas Co,1090.0333860324258,1054.3060345528913,1.0338870786172496
BERKSHIRE HATHAWAY GRP,Geico Gen Ins Co,893.6128635195012,867.0980076345876,1.030578845357107
BERKSHIRE HATHAWAY GRP,Geico Ind Co,893.6128635195012,867.0980076345876,1.030578845357107
FARMERS INS GRP,Farmers Ins Exch,1318.0273007645794,1228.0036348218089,1.0733089572294576
FARMERS INS GRP,Mid Century Ins Co,1357.5723106737826,1264.9144832276747,1.0732522464361967
LIBERTY MUT GRP,Liberty Mut Fire Ins Co,1621.736218809283,1221.8942553056131,1.3272312327908145
LIBERTY MUT GRP,Safeco Ins Co Of Amer,1566.3836959906605,1404.990997457434,1.114870984102598
MERCURY GEN GRP,California Automobile Ins Co,1446.86824408051,1420.4824956025768,1.0185752014260059
MERCURY GEN GRP,Mercury Ins Co,1120.1239894075234,1098.2315800226093,1.0199342377173888
NATIONWIDE CORP GRP,Allied Prop & Cas Ins Co,1373.0266616075141,1204.3642820307962,1.1400426615876718
NATIONWIDE CORP GRP,Amco Ins Co,1373.0266616075164,1204.3642820307962,1.1400426615876735
NATIONWIDE CORP GRP,Nationwide Ins Co Of Amer,1455.5949883610026,1324.328381231198,1.0991193792945593
PROGRESSIVE GRP,Progressive West Ins Co,1471.177899671068,1371.5155127681478,1.0726658838161955
PROGRESSIVE GRP,United Financial Cas Co,1055.0100275439445,1004.9260400456093,1.0498384811444055
STATE FARM GRP,State Farm Mut Auto Ins Co,1191.029366529678,1120.1576681124377,1.0632693954027608
UNITED SERV AUTOMOBILE ASSN GRP,Garrison Prop & Cas Ins Co,641.4246004322505,539.2438971385928,1.189488845095628
UNITED SERV AUTOMOBILE ASSN GRP,United Serv Automobile Assn,622.6573724029779,523.6778571007877,1.189008402704223
UNITED SERV AUTOMOBILE ASSN GRP,USAA Cas Ins Co,641.4246004322504,539.2438971385932,1.1894888450956271
UNITED SERV AUTOMOBILE ASSN GRP,USAA Gen Ind Co,723.907209279519,614.4963036762232,1.1780497375635055
