name,companies_name,minority_premium,premium,ratio
ALLSTATE INS GRP,Allstate Fire & Cas Ins Co,637.9518300605379,611.9682356008136,1.042459057428388
ALLSTATE INS GRP,Allstate Ind Co,1153.6921228694973,1136.2281219480576,1.0153701537429807
AMERICAN FAMILY INS GRP,American Family Mut Ins Co,572.0870105233877,572.0000000000001,1.0001521162996285
AMERICAN FAMILY INS GRP,American Standard Ins Co of WI,982.1243007476963,981.9999999999998,1.0001265791728071
AUTO OWNERS GRP,Owners Ins Co,719.9349443023254,688.1680600073471,1.0461615209148754
BERKSHIRE HATHAWAY GRP,Geico Cas Co,405.14582225702725,369.53402387730034,1.0963694709517504
BERKSHIRE HATHAWAY GRP,Geico Gen Ins Co,379.59845674588195,319.318284550366,1.1887777027250312
BERKSHIRE HATHAWAY GRP,Geico Ind Co,788.069772270584,667.7970511839566,1.1801037019756115
BERKSHIRE HATHAWAY GRP,Government Employees Ins Co,379.5984567458449,319.318284557533,1.1887777026982336
Country Ins & Fin Serv Grp,Country Mut Ins Co,304.00000000000006,304,1.0000000000000002
Country Ins & Fin Serv Grp,Country Pref Ins Co,296.99999999999994,297.0000000000002,0.999999999999999
ERIE INS GRP,Erie Ins Co,475.33210788866825,472.38181003899314,1.0062455788664504
ERIE INS GRP,Erie Ins Exch,409.2883014150963,406.7429396966056,1.0062579124800282
FARMERS INS GRP,Illinois Farmers Ins Co,608.0283387177279,549.2772164334385,1.1069607850581744
HARTFORD FIRE & CAS GRP,Trumbull Ins Co,254.87217131500998,253.08106114171127,1.007077219311546
LIBERTY MUT GRP,First Liberty Ins Corp,546.6519579064109,544.8332221048546,1.0033381514338093
LIBERTY MUT GRP,Liberty Mut Fire Ins Co,534.6643879811647,532.8332221040832,1.0034366586037007
LIBERTY MUT GRP,Safeco Ins Co Of IL,414.17476177197716,396.5447004167855,1.044459203052422
METROPOLITAN GRP,Economy Preferred Ins Co,442.6576228508252,441.978807375951,1.0015358552571882
METROPOLITAN GRP,Metropolitan Cas Ins Co,567.6693622111331,565.0860758118768,1.0045714918661637
METROPOLITAN GRP,Metropolitan Grp Prop & Cas Ins Co,791.7209019641899,687.0424888863122,1.1523609016489798
METROPOLITAN GRP,Metropolitan Prop & Cas Ins Co,651.009716113901,623.8602952885208,1.043518430376827
PEKIN INS GRP,Farmers Automobile Ins Assoc,1274.7258764524292,1212.6631076501544,1.0511789040259807
PROGRESSIVE GRP,Progressive Direct Ins Co,632.4515672152837,569.2450340134161,1.111035721745757
PROGRESSIVE GRP,Progressive Northern Ins Co,535.1688965233541,464.1532854537804,1.1530003412561114
PROGRESSIVE GRP,Progressive Universal Ins Co,539.2347227556479,485.95192452889034,1.1096462335824948
STATE FARM GRP,State Farm Fire & Cas Co,482.99999999999994,485.7033960934363,0.9944340597262031
STATE FARM GRP,State Farm Mut Auto Ins Co,435,437.36203348819737,0.9945993632109333
Travelers Grp,Travelers Commercial Ins Co,497.69275156670346,469.4007074267265,1.0602726917372474
Travelers Grp,Travelers Home & Marine Ins Co,521.5049284979631,491.9042982237287,1.0601755877741312
UNITED SERV AUTOMOBILE ASSN GRP,Garrison Prop & Cas Ins Co,376.35366509730926,363.9565490174261,1.0340620772269429
UNITED SERV AUTOMOBILE ASSN GRP,United Serv Automobile Assn,231.57342181854466,225.11986387383044,1.0286672079205377
UNITED SERV AUTOMOBILE ASSN GRP,USAA Cas Ins Co,232.47999601190173,224.64390815680306,1.0348822628638967
UNITED SERV AUTOMOBILE ASSN GRP,USAA Gen Ind Co,381.61123228175774,362.31498646605337,1.0532582049777075
