name,companies_name,minority_premium,premium,ratio
ALLSTATE INS GRP,Allstate Fire & Cas Ins Co,573.457165913575,467.72407236667055,1.2260586952728303
ALLSTATE INS GRP,Allstate Ind Co,979.6367961994217,689.7329781928748,1.4203131170646723
AMERICAN FAMILY INS GRP,American Family Mut Ins Co,529.1553299171031,442.9331849934085,1.19466174096885
AMERICAN FAMILY INS GRP,American Standard Ins Co of WI,908.2640899301598,766.8530455756704,1.184404359049436
AUTO OWNERS GRP,Owners Ins Co,634.2392862460268,409.20026547290956,1.5499483743321658
BERKSHIRE HATHAWAY GRP,Geico Cas Co,391.28756717103676,337.3125937530612,1.1600146997698206
BERKSHIRE HATHAWAY GRP,Geico Gen Ins Co,360.3889780834947,297.72343340743663,1.210482406301891
BERKSHIRE HATHAWAY GRP,Geico Ind Co,753.6911102796262,618.4389710091195,1.2186992502264418
BERKSHIRE HATHAWAY GRP,Government Employees Ins Co,360.38897808349475,297.72343340743663,1.210482406301891
Country Ins & Fin Serv Grp,Country Mut Ins Co,357.5045895475756,311.2373868298592,1.1486556714441534
Country Ins & Fin Serv Grp,Country Pref Ins Co,349.5081020876362,303.3588169335441,1.1521277199739404
ERIE INS GRP,Erie Ins Co,454.798797607156,365.4662531440777,1.2444344551502564
ERIE INS GRP,Erie Ins Exch,391.28037647372605,314.10056100972986,1.2457168978491744
FARMERS INS GRP,Illinois Farmers Ins Co,541.6544299822751,424.9266958572814,1.2747008725575544
HARTFORD FIRE & CAS GRP,Trumbull Ins Co,242.80682600959855,214.9534641094396,1.1295785672287557
LIBERTY MUT GRP,First Liberty Ins Corp,499.01645809344785,404.1236201445356,1.234811412198509
LIBERTY MUT GRP,Liberty Mut Fire Ins Co,488.42334398875147,395.68517779762703,1.2343736166901742
LIBERTY MUT GRP,Safeco Ins Co Of IL,396.1967534910816,337.4539541873638,1.17407648828765
METROPOLITAN GRP,Economy Preferred Ins Co,454.7340957318075,323.4455436622554,1.4059062016530508
METROPOLITAN GRP,Metropolitan Cas Ins Co,572.3746339321511,409.74662576883935,1.3968989564176648
METROPOLITAN GRP,Metropolitan Grp Prop & Cas Ins Co,744.0340504978922,560.7475786668355,1.3268609242447664
METROPOLITAN GRP,Metropolitan Prop & Cas Ins Co,520.4751917931703,335.8415543349355,1.5497641226198569
PEKIN INS GRP,Farmers Automobile Ins Assoc,793.3434280299133,378.2813895159157,2.097230923903367
PROGRESSIVE GRP,Progressive Direct Ins Co,609.7684858880509,527.4498204607629,1.1560691884497698
PROGRESSIVE GRP,Progressive Northern Ins Co,508.7169681448029,420.50689424209895,1.2097708149629496
PROGRESSIVE GRP,Progressive Universal Ins Co,519.6472404858848,452.42019564053163,1.1485942614700784
STATE FARM GRP,State Farm Fire & Cas Co,481.5798228994286,404.72414228265075,1.1898964568392452
STATE FARM GRP,State Farm Mut Auto Ins Co,433.5627279690807,364.33554730130595,1.1900094052873842
Travelers Grp,Travelers Commercial Ins Co,423.3186646973273,304.42237679216856,1.3905635622388235
Travelers Grp,Travelers Home & Marine Ins Co,443.1946792789793,318.20157574856563,1.3928110765522415
UNITED SERV AUTOMOBILE ASSN GRP,Garrison Prop & Cas Ins Co,360.0060922711725,329.72149413895625,1.0918490261343208
UNITED SERV AUTOMOBILE ASSN GRP,United Serv Automobile Assn,220.5118385743955,194.48483418596663,1.1338253673987855
UNITED SERV AUTOMOBILE ASSN GRP,USAA Cas Ins Co,220.43107153009757,197.996451129543,1.1133081945285792
UNITED SERV AUTOMOBILE ASSN GRP,USAA Gen Ind Co,354.7522226135701,310.7088024851126,1.1417514398568345
