name,companies_name,minority_premium,premium,ratio
ALLSTATE INS GRP,Allstate Fire & Cas Ins Co,597.1852205837868,531.1047742545916,1.1244207349141975
ALLSTATE INS GRP,Allstate Ind Co,568.1439784,514.6793159704434,1.1038795630027356
BERKSHIRE HATHAWAY GRP,Geico Gen Ins Co,496.2184261898727,450.20796342311996,1.1021982428229742
BERKSHIRE HATHAWAY GRP,Geico Ind Co,1422.1508922265373,1292.3322326354198,1.1004530076034562
BERKSHIRE HATHAWAY GRP,Government Employees Ins Co,496.21842618987284,450.20796342311996,1.1021982428229746
FARMERS INS GRP,21st Century Centennial Ins Co,878.2761439312158,813.6189082444687,1.0794686984675133
FARMERS INS GRP,Farmers TX Cnty Mut Ins Co,423.8874065059386,402.0389355570926,1.0543441667374114
LIBERTY MUT GRP,Liberty Cnty Mut Ins Co,1331.446749949746,1263.9037815693946,1.053439960672072
NATIONWIDE CORP GRP,Colonial Cnty Mut Ins Co,606.3831754052478,526.2104349623087,1.1523587050277362
NATIONWIDE CORP GRP,Nationwide Mut Ins Co,745.7883612419602,689.9142812491083,1.0809869885454326
PROGRESSIVE GRP,Progressive Cnty Mut Ins Co,505.4146086035317,498.6760705236609,1.0135128562972646
STATE FARM GRP,State Farm Cnty Mut Ins Co Of TX,590.8419939439543,558.0996602243845,1.0586675392463163
STATE FARM GRP,State Farm Fire & Cas Co,553.0668109591915,519.7163675100624,1.064170469767788
STATE FARM GRP,State Farm Mut Auto Ins Co,497.79794636184545,467.76652406393856,1.064201734739363
UNITED SERV AUTOMOBILE ASSN GRP,Garrison Prop & Cas Ins Co,357.58053608235565,321.69482567338986,1.1115520286465528
UNITED SERV AUTOMOBILE ASSN GRP,United Serv Automobile Assn,278.9879077367269,252.4381283854891,1.1051734122774615
UNITED SERV AUTOMOBILE ASSN GRP,USAA Cas Ins Co,308.4136795970596,278.35296336778435,1.1079949567109741
UNITED SERV AUTOMOBILE ASSN GRP,USAA Gen Ind Co,316.05514012749177,290.477076165618,1.0880553615435395
