zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
75001,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,269,269,331.8895276809976,53.7,206.11047231900238,538
75001,FALSE,Farmers TX Cnty Mut Ins Co,FARMERS INS GRP,155,286,331.8895276809976,53.7,109.11047231900238,441
75001,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,269,269,331.8895276809976,53.7,206.11047231900238,538
75001,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,130,173,331.8895276809976,53.7,-28.889527680997617,303
75001,FALSE,State Farm Cnty Mut Ins Co Of TX,STATE FARM GRP,218,369,331.8895276809976,53.7,255.11047231900238,587
75001,FALSE,Colonial Cnty Mut Ins Co,NATIONWIDE CORP GRP,251,302,331.8895276809976,53.7,221.11047231900238,553
75001,FALSE,Nationwide Mut Ins Co,NATIONWIDE CORP GRP,413,351,331.8895276809976,53.7,432.1104723190024,764
75001,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,125,151,331.8895276809976,53.7,-55.88952768099762,276
75001,FALSE,Liberty Cnty Mut Ins Co,LIBERTY MUT GRP,628,712,331.8895276809976,53.7,1008.1104723190024,1340
75001,FALSE,Progressive Cnty Mut Ins Co,PROGRESSIVE GRP,254,217,331.8895276809976,53.7,139.11047231900238,471
75001,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,138,185,331.8895276809976,53.7,-8.889527680997617,323
75001,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,268,339,331.8895276809976,53.7,275.1104723190024,607
75001,FALSE,Allstate Ind Co,ALLSTATE INS GRP,318,298,331.8895276809976,53.7,284.1104723190024,616
75001,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,158,188,331.8895276809976,53.7,14.110472319002383,346
75001,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,814,722,331.8895276809976,53.7,1204.1104723190024,1536
75001,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,183,311,331.8895276809976,53.7,162.11047231900238,494
75001,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,203,345,331.8895276809976,53.7,216.11047231900238,548
75001,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,478,352,331.8895276809976,53.7,498.1104723190024,830
