oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
010010010260000,Payson CUSD 1,,0.0,,0.0,47,85.5,8,14.5,,0.0,55
010010020260000,Liberty CUSD 2,,0.0,,0.0,65,78.3,18,21.7,,0.0,83
010010030260000,Central CUSD 3,,0.0,,0.0,32,58.2,23,41.8,,0.0,55
010011720220000,Quincy SD 172,2,0.1,,0.0,2114,67.4,1020,32.5,,0.0,3136
010050010260000,Brown County CUSD 1,,0.0,1,2.7,26,70.3,10,27.0,,0.0,37
010090150260000,Beardstown CUSD 15,,0.0,,0.0,238,81.5,54,18.5,,0.0,292
010090640260000,Virginia CUSD 64,,0.0,,0.0,,0.0,12,100.0,,0.0,12
010092620260000,A-C Central CUSD 262,,0.0,,0.0,17,40.5,25,59.5,,0.0,42
010690010260000,Franklin CUSD 1,,0.0,,0.0,56,83.6,11,16.4,,0.0,67
010690060260000,Waverly CUSD 6,,0.0,,0.0,11,78.6,3,21.4,,0.0,14
010690110260000,Meredosia-Chambersburg CUSD 11,,0.0,,0.0,52,57.8,38,42.2,,0.0,90
010690270260000,Triopia CUSD 27,,0.0,,0.0,3,25.0,9,75.0,,0.0,12
010691170220000,Jacksonville SD 117,,0.0,1,0.2,,0.0,576,99.8,,0.0,577
010750030260000,Pleasant Hill CUSD 3,,0.0,,0.0,15,57.7,11,42.3,,0.0,26
010750040260000,Griggsville-Perry CUSD 4,,0.0,,0.0,22,75.9,7,24.1,,0.0,29
010750100260000,Pikeland CUSD 10,,0.0,,0.0,,0.0,73,98.6,1,1.4,74
010750120260000,Western CUSD 12,,0.0,,0.0,48,75.0,16,25.0,,0.0,64
010860010260000,Winchester CUSD 1,,0.0,,0.0,114,74.0,40,26.0,,0.0,154
010860020260000,Scott-Morgan CUSD 2,,0.0,,0.0,1,2.9,33,97.1,,0.0,34
030030010260000,Mulberry Grove CUSD 1,,0.0,,0.0,11,55.0,9,45.0,,0.0,20
030030020260000,Bond County CUSD 2,,0.0,3,1.9,88,57.1,63,40.9,,0.0,154
030110010260000,Morrisonville CUSD 1,,0.0,,0.0,15,57.7,11,42.3,,0.0,26
030110030260000,Taylorville CUSD 3,,0.0,,0.0,32,13.4,206,86.6,,0.0,238
030110080260000,Pana CUSD 8,,0.0,,0.0,35,64.8,19,35.2,,0.0,54
030110140240000,South Fork SD 14,,0.0,,0.0,24,55.8,19,44.2,,0.0,43
030250100260000,Altamont CUSD 10,1,5.9,,0.0,,0.0,16,94.1,,0.0,17
030250200260000,Beecher City CUSD 20,,0.0,,0.0,7,63.6,3,27.3,1,9.1,11
030250400260000,Effingham CUSD 40,2,0.6,1,0.3,213,67.8,98,31.2,,0.0,314
030250500260000,Teutopolis CUSD 50,,0.0,,0.0,19,65.5,9,31.0,1,3.4,29
030262010260000,Brownstown CUSD 201,,0.0,,0.0,23,54.8,19,45.2,,0.0,42
030262020260000,St Elmo CUSD 202,1,0.5,,0.0,186,84.2,34,15.4,,0.0,221
030262030260000,Vandalia CUSD 203,2,1.5,1,0.7,34,24.8,100,73.0,,0.0,137
030262040260000,Ramsey CUSD 204,2,5.0,,0.0,16,40.0,22,55.0,,0.0,40
030680020260000,Panhandle CUSD 2,,0.0,,0.0,24,48.0,26,52.0,,0.0,50
030680030260000,Hillsboro CUSD 3,,0.0,,0.0,242,67.8,115,32.2,,0.0,357
030680120260000,Litchfield CUSD 12,,0.0,,0.0,194,84.0,37,16.0,,0.0,231
030680220260000,Nokomis CUSD 22,,0.0,,0.0,64,66.7,30,31.3,2,2.1,96
040041000260000,Belvidere CUSD 100,,0.0,,0.0,780,75.2,257,24.8,,0.0,1037
041011220220000,Harlem UD 122,,0.0,1,0.1,873,54.6,726,45.4,,0.0,1600
041011310040000,Kinnikinnick CCSD 131,,0.0,,0.0,92,76.0,29,24.0,,0.0,121
041011330040000,Prairie Hill CCSD 133,,0.0,,0.0,12,70.6,5,29.4,,0.0,17
041011340040000,Shirland CCSD 134,,0.0,,0.0,19,90.5,2,9.5,,0.0,21
041011400040000,Rockton SD 140,,0.0,,0.0,23,37.1,39,62.9,,0.0,62
041012050250000,Rockford SD 205,72,0.4,,0.0,11006,53.7,9300,45.4,106,0.5,20484
041012070160000,Hononegah CHD 207,,0.0,15,3.9,332,85.8,40,10.3,,0.0,387
041013200260000,County of Winnebago SD 320,,0.0,,0.0,76,29.2,184,70.8,,0.0,260
041013210260000,Pecatonica CUSD 321,2,5.4,,0.0,7,18.9,28,75.7,,0.0,37
041013220260000,Durand CUSD 322,,0.0,,0.0,47,77.0,14,23.0,,0.0,61
041013230260000,Winnebago CUSD 323,,0.0,,0.0,,0.0,5,83.3,1,16.7,6
050160150040000,Palatine CCSD 15,,0.0,,0.0,303,86.1,35,9.9,14,4.0,352
050160210040000,Wheeling CCSD 21,,0.0,,0.0,150,83.8,29,16.2,,0.0,179
050160230020000,Prospect Heights SD 23,,0.0,,0.0,12,75.0,4,25.0,,0.0,16
050160250020000,Arlington Heights SD 25,,0.0,,0.0,24,80.0,6,20.0,,0.0,30
050160260020000,River Trails SD 26,,0.0,,0.0,26,56.5,20,43.5,,0.0,46
050160270020000,Northbrook ESD 27,,0.0,,0.0,25,100.0,,0.0,,0.0,25
050160280020000,Northbrook SD 28,,0.0,,0.0,55,91.7,5,8.3,,0.0,60
050160300020000,Northbrook/Glenview SD 30,,0.0,,0.0,,0.0,1,100.0,,0.0,1
050160310020000,West Northfield SD 31,,0.0,,0.0,8,72.7,3,27.3,,0.0,11
050160340040000,Glenview CCSD 34,,0.0,,0.0,119,80.4,29,19.6,,0.0,148
050160360020000,Winnetka SD 36,,0.0,,0.0,5,71.4,2,28.6,,0.0,7
050160370020000,Avoca SD 37,,0.0,,0.0,9,75.0,3,25.0,,0.0,12
050160390020000,Wilmette SD 39,,0.0,,0.0,4,28.6,10,71.4,,0.0,14
050160540040000,Schaumburg CCSD 54,,0.0,,0.0,129,62.9,76,37.1,,0.0,205
050160570020000,Mount Prospect SD 57,,0.0,,0.0,19,70.4,8,29.6,,0.0,27
050160590040000,Comm Cons SD 59,,0.0,,0.0,,0.0,82,100.0,,0.0,82
050160620040000,CCSD 62,,0.0,,0.0,29,40.3,43,59.7,,0.0,72
050160630020000,East Maine SD 63,,0.0,,0.0,94,81.0,22,19.0,,0.0,116
050160640040000,Park Ridge CCSD 64,,0.0,,0.0,150,85.2,26,14.8,,0.0,176
050160650040000,Evanston CCSD 65,,0.0,,0.0,24,19.0,102,81.0,,0.0,126
050160670020000,Golf ESD 67,,0.0,,0.0,28,100.0,,0.0,,0.0,28
050160680020000,Skokie SD 68,,0.0,,0.0,102,75.6,33,24.4,,0.0,135
050160690020000,Skokie SD 69,,0.0,,0.0,23,44.2,29,55.8,,0.0,52
050160700020000,Morton Grove SD 70,,0.0,,0.0,6,100.0,,0.0,,0.0,6
050160710020000,Niles ESD 71,,0.0,,0.0,10,62.5,6,37.5,,0.0,16
050160720020000,Fairview SD 72,,0.0,,0.0,2,100.0,,0.0,,0.0,2
050160730020000,East Prairie SD 73,,0.0,,0.0,10,76.9,3,23.1,,0.0,13
050160735020000,Skokie SD 73-5,,0.0,6,19.4,3,9.7,22,71.0,,0.0,31
050160740020000,Lincolnwood SD 74,,0.0,,0.0,18,60.0,12,40.0,,0.0,30
050162020170000,Evanston Twp HSD 202,3,0.3,,0.0,437,43.7,138,13.8,421,42.1,999
050162030170000,New Trier Twp HSD 203,,0.0,,0.0,,0.0,66,97.1,2,2.9,68
050162070170000,Maine Township HSD 207,,0.0,,0.0,,0.0,514,100.0,,0.0,514
050162110170000,Township HSD 211,,0.0,1,0.1,914,62.0,560,38.0,,0.0,1475
050162140170000,Township HSD 214,,0.0,,0.0,705,61.8,436,38.2,,0.0,1141
050162190170000,Niles Twp CHSD 219,,0.0,,0.0,1045,85.4,178,14.6,,0.0,1223
050162250170000,Northfield Twp HSD 225,2,2.2,,0.0,48,51.6,43,46.2,,0.0,93
060160790020000,Pennoyer SD 79,,0.0,,0.0,2,15.4,11,84.6,,0.0,13
060160800020000,Norridge SD 80,,0.0,,0.0,22,57.9,16,42.1,,0.0,38
060160810020000,Schiller Park SD 81,,0.0,,0.0,,0.0,11,100.0,,0.0,11
060160830020000,Mannheim SD 83,,0.0,1,0.4,144,59.3,98,40.3,,0.0,243
060160840020000,Franklin Park SD 84,,0.0,,0.0,,0.0,27,100.0,,0.0,27
060160845020000,Rhodes SD 84-5,,0.0,,0.0,11,45.8,13,54.2,,0.0,24
060160855020000,River Grove SD 85-5,,0.0,,0.0,20,48.8,21,51.2,,0.0,41
060160860020000,Union Ridge SD 86,,0.0,,0.0,7,23.3,23,76.7,,0.0,30
060160870020000,Berkeley SD 87,,0.0,,0.0,169,62.6,101,37.4,,0.0,270
060160880020000,Bellwood SD 88,,0.0,,0.0,2,1.4,139,98.6,,0.0,141
060160890020000,Maywood-Melrose Park-Broadview 89,,0.0,,0.0,77,37.0,131,63.0,,0.0,208
060160900020000,River Forest SD 90,,0.0,,0.0,6,85.7,1,14.3,,0.0,7
060160910020000,Forest Park SD 91,,0.0,,0.0,29,36.3,51,63.8,,0.0,80
060160920020000,Lindop SD 92,1,1.1,,0.0,10,11.4,77,87.5,,0.0,88
060160925020000,Westchester SD 92-5,,0.0,,0.0,3,16.7,15,83.3,,0.0,18
060160930020000,Hillside SD 93,,0.0,,0.0,14,53.8,12,46.2,,0.0,26
060160940020000,Komarek SD 94,,0.0,,0.0,,0.0,14,100.0,,0.0,14
060160950020000,Brookfield Lagrange Park SD 95,,0.0,,0.0,34,82.9,7,17.1,,0.0,41
060160960020000,Riverside SD 96,,0.0,1,5.3,7,36.8,11,57.9,,0.0,19
060160970020000,Oak Park ESD 97,,0.0,,0.0,112,56.9,85,43.1,,0.0,197
060160980020000,Berwyn North SD 98,,0.0,,0.0,,0.0,203,100.0,,0.0,203
060160990020000,Cicero SD 99,,0.0,,0.0,1065,66.4,539,33.6,,0.0,1604
060161000020000,Berwyn South SD 100,,0.0,,0.0,75,27.9,193,71.7,1,0.4,269
060161010020000,Western Springs SD 101,,0.0,,0.0,3,37.5,5,62.5,,0.0,8
060161020020000,La Grange SD 102,,0.0,,0.0,19,57.6,14,42.4,,0.0,33
060161030020000,Lyons SD 103,,0.0,,0.0,206,94.5,12,5.5,,0.0,218
060161060020000,LaGrange Highlands SD 106,,0.0,,0.0,3,42.9,4,57.1,,0.0,7
060162000130000,Oak Park - River Forest SD 200,,0.0,1,0.1,905,87.4,129,12.5,,0.0,1035
060162010170000,J S Morton HSD 201,,0.0,66,1.1,3879,66.7,1873,32.2,,0.0,5818
060162040170000,Lyons Twp HSD 204,,0.0,,0.0,169,60.1,112,39.9,,0.0,281
060162080170000,Riverside-Brookfield Twp SD 208,,0.0,,0.0,,0.0,180,100.0,,0.0,180
060162090170000,Proviso Twp HSD 209,,0.0,1,0.0,1660,52.5,1486,47.0,13,0.4,3160
060162120160000,Leyden CHSD 212,,0.0,,0.0,,0.0,493,100.0,,0.0,493
060162340160000,Ridgewood CHSD 234,,0.0,,0.0,,0.0,17,100.0,,0.0,17
060164010260000,Elmwood Park CUSD 401,,0.0,3,0.7,216,49.2,220,50.1,,0.0,439
070161040020000,Summit SD 104,,0.0,,0.0,3,15.0,17,85.0,,0.0,20
070161080020000,Willow Springs SD 108,,0.0,,0.0,1,16.7,5,83.3,,0.0,6
070161090020000,Indian Springs SD 109,,0.0,,0.0,39,37.9,64,62.1,,0.0,103
070161100020000,Central Stickney SD 110,,0.0,,0.0,14,93.3,1,6.7,,0.0,15
070161110020000,Burbank SD 111,,0.0,,0.0,11,22.4,36,73.5,2,4.1,49
07016113A020000,Lemont-Bromberek CSD 113A,,0.0,,0.0,45,54.2,38,45.8,,0.0,83
070161170020000,North Palos SD 117,,0.0,,0.0,37,38.9,58,61.1,,0.0,95
070161180040000,Palos CCSD 118,,0.0,,0.0,24,82.8,5,17.2,,0.0,29
