distID,DistID,districtNAME
050160150040000,50160150040000,Palatine CCSD 15
050160210040000,50160210040000,Wheeling CCSD 21
050160230020000,50160230020000,Prospect Heights SD 23
050160250020000,50160250020000,Arlington Heights SD 25
050160260020000,50160260020000,River Trails SD 26
050160540040000,50160540040000,Schaumburg CCSD 54
050160570020000,50160570020000,Mount Prospect SD 57
050160590040000,50160590040000,Comm Cons SD 59
050160620040000,50160620040000,CCSD 62
050160630020000,50160630020000,East Maine SD 63
050162070170000,50162070170000,Maine Township HSD 207
050162110170000,50162110170000,Township HSD 211
050162140170000,50162140170000,Township HSD 214
060160780020000,60160780020000,Rosemont ESD 78
060162120160000,60162120160000,Leyden CHSD 212
190220020020000,90220020020000,Bensenville SD 2
190220040020000,90220040020000,Addison SD 4
190220070020000,90220070020000,Wood Dale SD 7
190220100020000,90220100020000,Itasca SD 10
190220110020000,90220110020000,Medinah SD 11
190220120020000,90220120020000,Roselle SD 12
190220130020000,90220130020000,Bloomingdale SD 13
190220150020000,90220150020000,Marquardt SD 15
190220160020000,90220160020000,Queen Bee SD 16
190220200020000,90220200020000,Keeneyville SD 20
190220250020000,90220250020000,Benjamin SD 25
190220330020000,90220330020000,West Chicago ESD 33
190220340020000,90220340020000,Winfield SD 34
190220410020000,90220410020000,Glen Ellyn SD 41
190220440020000,90220440020000,Lombard SD 44
190220450020000,90220450020000,SD 45 DuPage County
190220480020000,90220480020000,Salt Creek SD 48
190220530020000,90220530020000,Butler SD 53
190220870170000,90220870170000,Glenbard Twp HSD 87
190220880160000,90220880160000,DuPage HSD 88
190220890040000,90220890040000,CCSD 89
190220930040000,90220930040000,CCSD 93
190220940160000,90220940160000,CHSD 94
190221000160000,90221000160000,Fenton CHSD 100
190221080160000,90221080160000,Lake Park CHSD 108
190222000260000,90222000260000,CUSD 200
190222020260000,90222020260000,Lisle CUSD 202
190222030260000,90222030260000,Naperville CUSD 203
190222040260000,90222040260000,Indian Prairie CUSD 204
310450460220000,10450460220000,SD U-46
310451010220000,10451010220000,Batavia USD 101
310451290220000,10451290220000,Aurora West USD 129
310451310220000,10451310220000,Aurora East USD 131
310453000260000,10453000260000,CUSD 300
310453010260000,10453010260000,Central CUSD 301
310453020260000,10453020260000,Kaneland CUSD 302
310453030260000,10453030260000,St Charles CUSD 303
310453040260000,10453040260000,Geneva CUSD 304
340490240040000,40490240040000,Millburn CCSD 24
340490330020000,40490330020000,Emmons SD 33
340490340040000,40490340040000,Antioch CCSD 34
340490360020000,40490360020000,Grass Lake SD 36
340490370020000,40490370020000,Gavin SD 37
340490380020000,40490380020000,Big Hollow SD 38
340490410040000,40490410040000,Lake Villa CCSD 41
340490460040000,40490460040000,Grayslake CCSD 46
340490500040000,40490500040000,Woodland CCSD 50
340490560020000,40490560020000,Gurnee SD 56
340490680020000,40490680020000,Oak Grove SD 68 - Lake
340490700020000,40490700020000,Libertyville SD 70
340490720020000,40490720020000,Rondout SD 72
340490730040000,40490730040000,Hawthorn CCSD 73
340490750020000,40490750020000,Mundelein ESD 75
340490760020000,40490760020000,Diamond Lake SD 76
340490790020000,40490790020000,Fremont SD 79
340490950260000,40490950260000,Lake Zurich CUSD 95
340490960040000,40490960040000,Kildeer Countryside CCSD 96
340491020040000,40491020040000,Aptakisic-Tripp CCSD 102
340491030020000,40491030020000,Lincolnshire-Prairieview SD 103
340491140020000,40491140020000,Fox Lake GSD 114
340491160260000,40491160260000,Round Lake CUSD 116
340491170160000,40491170160000,CHSD 117
340491180260000,40491180260000,Wauconda CUSD 118
340491200130000,40491200130000,Mundelein Cons HSD 120
340491210170000,40491210170000,Warren Twp HSD 121
340491240160000,40491240160000,Grant CHSD 124
340491250130000,40491250130000,Adlai E Stevenson HSD 125
340491270160000,40491270160000,Grayslake CHSD 127
340491280160000,40491280160000,CHSD 128
340492200260000,40492200260000,Barrington CUSD 220
440630030030000,40630030030000,Fox River Grove Cons SD 3
440630150040000,40630150040000,McHenry CCSD 15
440630260040000,40630260040000,Cary CCSD 26
440630470040000,40630470040000,Crystal Lake CCSD 47
440631550160000,40631550160000,CHSD 155
440631560160000,40631560160000,McHenry CHSD 156
440631580220000,40631580220000,Cons SD 158
