distID,District,County,white_district,black_district,hispanic_district,asian_district,nathawaiian_district,NativeAmerica_district,multi_district,lep_district,iiep_district,lowInc_district,home_district
060160990020000,Cicero SD 99,Cook,3.7,1.8,92.7,0.1,0,1.5,0.1,51.9,12.2,94.2,1.1
060162010170000,J S Morton HSD 201,Cook,6.5,4.2,87.9,0.7,0,0.1,0.5,11.5,11,88.6,0.9
310451310220000,Aurora East USD 131,Kane,3.4,7.9,86.1,0.6,0,0.5,1.4,34.9,13.1,81.6,1.1
150169000250000,Horizon Science Acad-McKinley Pk,Cook,5.3,7.1,84.1,0.9,0,0.7,1.8,33.5,7.5,87.9,1.1
060161000020000,Berwyn South SD 100,Cook,11.2,3.2,82,1.3,0,0.1,2.3,25.3,11.6,77.6,0.6
060160980020000,Berwyn North SD 98,Cook,5.4,10.9,81.3,1.9,0,0.1,0.3,27.5,17.9,89.7,1
070161040020000,Summit SD 104,Cook,9.6,5.7,80,1.7,0,0.2,2.8,37,14.1,67.8,0.4
060160830020000,Mannheim SD 83,Cook,15.3,1.4,79.4,2.4,0.2,0.1,1.1,34.6,16.8,83.1,0.7
340490600260000,Waukegan CUSD 60,Lake,3.6,14.8,77.9,1.2,0.2,0.5,1.8,31.4,13.4,72.8,1.6
190220330020000,West Chicago ESD 33,Dupage,16.9,2.2,77.8,1.9,0.1,0,1.2,55,15.7,68,1.1
280061030220000,DePue USD 103,Bureau,19,0.2,74.7,0.9,0,3.6,1.6,35.8,17.9,68.9,1.6
340491160260000,Round Lake CUSD 116,Lake,15.8,6.8,73,1.6,0.1,0.4,2.4,26.1,14.6,68.3,1.3
060160845020000,Rhodes SD 84-5,Cook,17.1,6.9,72.6,2.1,0,0,1.4,39.3,11.4,83.4,0.7
070161100020000,Central Stickney SD 110,Cook,20,0.5,70.9,1.4,0.5,0,6.7,33,15.6,79.3,1.2
190220040020000,Addison SD 4,Dupage,23.2,2,69.1,3.8,0,0.5,1.4,31.4,14.1,72.6,1.2
060160870020000,Berkeley SD 87,Cook,5.2,22.8,68.4,1.5,0.2,0.3,1.6,32.8,15.2,84.6,0.8
