"distID","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc"
"010010010260000","Payson CUSD 1","Adams",96.3,0.4,0,0,0.2,0,3.1,0,11,48.5,0,517,,0,,0,47,85.5,8,14.5,,0,55,10.6
"010010020260000","Liberty CUSD 2","Adams",96.8,0.6,0.2,0,0,0.2,2.3,0,14.4,36.1,0,653,,0,,0,65,78.3,18,21.7,,0,83,12.7
"010010030260000","Central CUSD 3","Adams",96.8,0,0.1,0,0.2,0,2.9,0,16.8,50.3,2.2,862,,0,,0,32,58.2,23,41.8,,0,55,6.4
"010010040260000","CUSD 4","Adams",97.8,0.3,1.3,0.3,0,0,0.3,0,16.7,34,0.7,677,,,,,,,,,,,,
"010011720220000","Quincy SD 172","Adams",81.2,10.6,2.1,1,0.1,0.1,4.8,0.3,17.1,61.4,1.8,6868,2,0.1,,0,2114,67.4,1020,32.5,,0,3136,45.7
"010050010260000","Brown County CUSD 1","Brown",95.4,0.6,2.1,0.1,0,0.3,1.5,0.3,5.6,48,2.4,779,,0,1,2.7,26,70.3,10,27,,0,37,4.7
"010090150260000","Beardstown CUSD 15","Cass",40.2,8.2,49,0.4,0,0.1,2.1,32.7,18,77.6,8.2,1582,,0,,0,238,81.5,54,18.5,,0,292,18.5
"010090640260000","Virginia CUSD 64","Cass",95.3,0.3,1.3,0,0,0.7,2.4,0,12.5,56.9,0,297,,0,,0,,0,12,100,,0,12,4
"010092620260000","A-C Central CUSD 262","Cass",93.6,2.5,2.8,0,0,0.2,0.8,0,15.3,47.8,2.1,471,,0,,0,17,40.5,25,59.5,,0,42,8.9
"010690010260000","Franklin CUSD 1","Morgan",95.8,0,0.6,0,0,1,2.6,0,21,40.5,1.3,309,,0,,0,56,83.6,11,16.4,,0,67,21.7
"010690060260000","Waverly CUSD 6","Morgan",98.4,0.5,0,0.8,0,0,0.3,0.5,18.3,37.2,5.7,387,,0,,0,11,78.6,3,21.4,,0,14,3.6
"010690110260000","Meredosia-Chambersburg CUSD 11","Morgan",96.3,0,0,0,0,0,3.7,0.4,19.3,64.8,0,244,,0,,0,52,57.8,38,42.2,,0,90,36.9
"010690270260000","Triopia CUSD 27","Morgan",95.9,0.3,1.8,0,0,0,2.1,0.5,11.8,36.9,0,390,,0,,0,3,25,9,75,,0,12,3.1
"010691170220000","Jacksonville SD 117","Morgan",77.5,8.9,3.7,0.5,0.1,0.1,9.2,2.4,18.8,65,2.5,3541,,0,1,0.2,,0,576,99.8,,0,577,16.3
"010750030260000","Pleasant Hill CUSD 3","Pike",98.4,0.9,0,0,0,0.3,0.3,0,24.8,51.9,0,318,,0,,0,15,57.7,11,42.3,,0,26,8.2
"010750040260000","Griggsville-Perry CUSD 4","Pike",95.5,0.3,0.8,0,0,0,3.5,0.3,17.8,57.4,0.5,399,,0,,0,22,75.9,7,24.1,,0,29,7.3
"010750100260000","Pikeland CUSD 10","Pike",98.1,0.1,0.8,0.5,0,0.2,0.3,0,13.1,55.5,0.2,1318,,0,,0,,0,73,98.6,1,1.4,74,5.6
"010750120260000","Western CUSD 12","Pike",96.2,0.5,2.5,0,0,0.2,0.7,0.3,9.6,60.8,5.7,612,,0,,0,48,75,16,25,,0,64,10.5
"010860010260000","Winchester CUSD 1","Scott",98.4,0,0.1,0,0,0.1,1.3,0,17.2,49.4,0.9,668,,0,,0,114,74,40,26,,0,154,23.1
"010860020260000","Scott-Morgan CUSD 2","Scott",97.3,0,0.5,0,0,0,2.3,0,19.9,53.8,0.5,221,,0,,0,1,2.9,33,97.1,,0,34,15.4
"030030010260000","Mulberry Grove CUSD 1","Bond",90.5,3.9,1.4,0.2,0.2,0,3.7,0,18.6,53.6,3.2,431,,0,,0,11,55,9,45,,0,20,4.6
"030030020260000","Bond County CUSD 2","Bond",90.4,2.4,2.2,0.7,0.1,0.2,4.1,0.1,18.5,50.4,3.3,1921,,0,3,1.9,88,57.1,63,40.9,,0,154,8
"030110010260000","Morrisonville CUSD 1","Christian",97.4,0.6,0,0,0,0,2,0,18,37.2,2,344,,0,,0,15,57.7,11,42.3,,0,26,7.6
"030110030260000","Taylorville CUSD 3","Christian",93.5,1.3,1.5,0.8,0,0.1,2.9,0,17.4,56.2,1.6,2645,,0,,0,32,13.4,206,86.6,,0,238,9
"030110040260000","Edinburg CUSD 4","Christian",96.3,0.7,0.4,0,0,0,2.6,0,7.1,43.7,0.4,268,,,,,,,,,,,,
"030110080260000","Pana CUSD 8","Christian",96.4,0.4,1.1,0.4,0,0.1,1.6,0.2,14.9,64,1.1,1321,,0,,0,35,64.8,19,35.2,,0,54,4.1
"030110140240000","South Fork SD 14","Christian",95.1,0.3,0.3,0.3,0,0,4,0,21.8,62,7.8,371,,0,,0,24,55.8,19,44.2,,0,43,11.6
"030250100260000","Altamont CUSD 10","Effingham",95.3,0.8,1.1,0.3,0,0.4,2.1,0,13.4,52,4,748,1,5.9,,0,,0,16,94.1,,0,17,2.3
"030250200260000","Beecher City CUSD 20","Effingham",97.7,0.3,1.2,0.3,0.3,0.3,0,0,16.5,52.8,4.3,345,,0,,0,7,63.6,3,27.3,1,9.1,11,3.2
