"distID","DistID","districtNAME","District.x","County","white_district","black_district","hispanic_district","asian_district","nathawaiian_district","NativeAmerica_district","multi_district","lep_district","iiep_district","lowInc_district","home_district","distEnroll","Expulsion_w_services","EWS_perc","Expulsion_no_services","ENS_perc","In_school","IS_perc","Out_of_school","OOS_perc","Transfer_to_alt","TTA_perc","total","total_perc","test_district"
"050160150040000","50160150040000","Palatine CCSD 15","Palatine CCSD 15","Cook",41.2,3.4,36.2,16.4,0.1,0.3,2.3,22.2,11.8,42,0.9,12745,,0,,0,303,86.1,35,9.9,14,4,352,2.8,41.9
"050160210040000","50160210040000","Wheeling CCSD 21","Wheeling CCSD 21","Cook",33.6,1.9,53.2,8.9,0.1,0.7,1.7,38.1,10.2,61.9,4,6899,,0,,0,150,83.8,29,16.2,,0,179,2.6,56.8
"050160230020000","50160230020000","Prospect Heights SD 23","Prospect Heights SD 23","Cook",65.9,2.1,21,9,0.1,0.2,1.7,22.5,11.2,36.3,0.9,1571,,0,,0,12,75,4,25,,0,16,1,24.8
"050160250020000","50160250020000","Arlington Heights SD 25","Arlington Heights SD 25","Cook",78.3,0.9,7.4,10,0.1,0.3,2.8,8.7,14.9,3.4,0.4,5364,,0,,0,24,80,6,20,,0,30,0.6,11.1
"050160260020000","50160260020000","River Trails SD 26","River Trails SD 26","Cook",50.1,2.8,25.1,18.1,0.3,0.9,2.7,18.1,13,39.7,0.3,1433,,0,,0,26,56.5,20,43.5,,0,46,3.2,30.6
"050160540040000","50160540040000","Schaumburg CCSD 54","Schaumburg CCSD 54","Cook",42,6.3,24.7,22.8,0.2,0.4,3.5,21.6,9.6,30.5,0.7,14268,,0,,0,129,62.9,76,37.1,,0,205,1.4,34.5
"050160570020000","50160570020000","Mount Prospect SD 57","Mount Prospect SD 57","Cook",77.6,0.8,9.4,7.3,0,0,4.9,5.5,11.9,13,0.5,2252,,0,,0,19,70.4,8,29.6,,0,27,1.2,15.1
"050160590040000","50160590040000","Comm Cons SD 59","Comm Cons SD 59","Cook",38.9,3.4,43.4,11.3,0.3,0.9,1.9,34.8,12.4,61.9,2.7,7010,,0,,0,,0,82,100,,0,82,1.2,48.7
"050160620040000","50160620040000","CCSD 62","CCSD 62","Cook",42.7,4.1,40.9,10.9,0.3,0.1,1,33.5,18,59.8,1.2,4793,,0,,0,29,40.3,43,59.7,,0,72,1.5,46
"050160630020000","50160630020000","East Maine SD 63","East Maine SD 63","Cook",38.8,4,18,31.2,0.2,3.8,4.1,34.7,12,60.3,1.5,3588,,0,,0,94,81,22,19,,0,116,3.2,26.1
"050162070170000","50162070170000","Maine Township HSD 207","Maine Township HSD 207","Cook",59.5,2.4,21.4,14.3,0.1,0.6,1.7,4.8,13.3,29.1,1,6307,,0,,0,,0,514,100,,0,514,8.1,25.5
"050162110170000","50162110170000","Township HSD 211","Township HSD 211","Cook",51.4,6.2,21.8,17.5,0.2,0.3,2.5,4.3,10.4,34.9,1.7,12183,,0,1,0.1,914,62,560,38,,0,1475,12.1,30.5
"050162140170000","50162140170000","Township HSD 214","Township HSD 214","Cook",58.6,2.3,29,7.2,0,0.2,2.7,5,11.7,28.8,1,11974,,0,,0,705,61.8,436,38.2,,0,1141,9.5,34
"060160780020000","60160780020000","Rosemont ESD 78","Rosemont ESD 78","Cook",56.5,1.9,27.9,3.8,0,0.4,9.5,10.3,16,37,0.8,262,,,,,,,,,,,,,39.3
