distID,distEnroll
010010010260000,517
010010020260000,653
010010030260000,862
010010040260000,677
010011720220000,6868
010050010260000,779
010090150260000,1582
010090640260000,297
010092620260000,471
010690010260000,309
010690060260000,387
010690110260000,244
010690270260000,390
010691170220000,3541
010750030260000,318
010750040260000,399
010750100260000,1318
010750120260000,612
010860010260000,668
010860020260000,221
030030010260000,431
030030020260000,1921
030110010260000,344
030110030260000,2645
030110040260000,268
030110080260000,1321
030110140240000,371
030250100260000,748
030250200260000,345
030250300260000,458
030250400260000,2691
030250500260000,1094
030262010260000,386
030262020260000,478
030262030260000,1501
030262040260000,482
030680020260000,519
030680030260000,1820
030680120260000,1496
030680220260000,661
040041000260000,8222
040042000260000,1644
041011220220000,6860
041011310040000,1810
041011330040000,748
041011340040000,121
041011400040000,1529
041012050250000,28650
041012070160000,2115
041013200260000,1048
041013210260000,886
041013220260000,601
041013230260000,1446
050160150040000,12745
050160210040000,6899
050160230020000,1571
050160250020000,5364
050160260020000,1433
050160270020000,1248
050160280020000,1718
050160290020000,491
050160300020000,1126
050160310020000,907
050160340040000,4887
050160350020000,1207
050160360020000,1807
050160370020000,713
050160380020000,497
050160390020000,3703
050160540040000,14268
050160570020000,2252
050160590040000,7010
050160620040000,4793
050160630020000,3588
050160640040000,4555
050160650040000,7655
050160670020000,609
050160680020000,1834
050160690020000,1780
050160700020000,889
050160710020000,531
050160720020000,678
050160730020000,540
050160735020000,1025
050160740020000,1240
050162020170000,3230
050162030170000,4099
050162070170000,6307
050162110170000,12183
050162140170000,11974
050162190170000,4752
050162250170000,4965
060160780020000,262
060160790020000,432
060160800020000,1096
060160810020000,1436
060160830020000,2778
060160840020000,1306
060160845020000,727
060160855020000,678
060160860020000,646
060160870020000,2811
060160880020000,2675
060160890020000,5355
060160900020000,1355
060160910020000,780
060160920020000,452
060160925020000,1217
060160930020000,545
060160940020000,523
060160950020000,1140
060160960020000,1687
060160970020000,5950
060160980020000,3372
060160990020000,12857
060161000020000,3917
060161010020000,1441
060161020020000,3154
060161030020000,2543
060161050020000,1459
060161060020000,844
060161070020000,833
060162000130000,3294
060162010170000,8266
060162040170000,4032
060162080170000,1584
060162090170000,4605
060162120160000,3423
060162340160000,828
060164010260000,2929
070161040020000,1887
070161080020000,417
070161090020000,2991
070161100020000,430
070161110020000,3532
07016113A020000,2191
070161170020000,3259
070161180040000,1914
070161220020000,2424
070161230020000,3182
070161240020000,1758
070161250020000,716
070161260020000,1595
070161270020000,1139
070161275020000,1470
070161280020000,746
070161300020000,3861
070161320020000,1193
070161330020000,317
070161350020000,4997
070161400020000,3623
070161420020000,1606
070161430020000,1918
070161435020000,1718
